sample	population	vapr	AnnTemp	Iso	TempSea	MaxTempWarm	MinTempCold	AnnPre	PreWet	PreDry	Lats.	Lons.
AA0140-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AA0141-C	GHM_3	2.883666694	261	71	1169	320	208	1034	213	20	5.66849	-0.21928
AB0085-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0087-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0088-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0089-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0090-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0091-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0092-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0094-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0095-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0097-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0098-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0099-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0100-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0101-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0103-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0104-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0108-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0109-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0110-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0111-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0112-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0113-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0114-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0115-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0133-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0134-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0135-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0136-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0137-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0138-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0139-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0140-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0142-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
AB0143-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0145-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0146-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0147-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0148-C	BFS_2	1.909200008	271	62	1872	372	155	1009	270	1	11.23413043	-4.507608696
AB0172-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0173-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0174-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0175-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0176-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0177-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0178-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0179-C	BFS_1	1.887266671	272	64	1752	371	172	1038	273	2	11.15	-4.235
AB0181-C	BFM_2	1.914833332	271	62	1876	373	156	1014	271	1	11.23376923	-4.496230769
